GENRE	PLACE	LIGHT	ISO	aperture	exposure	lightDetail	object	when	light	genre_old
море, озеро, река	На улице	Дневной свет	400	16	1/125	пасмурно	море, озеро, река	утро / день	пасмурно	пейзаж
море, озеро, река	На улице	Дневной свет	800	0	-	ISO 800 не подходит для съемки воды и берега утром или днем	море, озеро, река	утро / день	пасмурно	пейзаж
море, озеро, река	На улице	Дневной свет	1600	0	-	ISO 1600 не подходит для съемки воды и берега утром или днем	море, озеро, река	утро / день	пасмурно	пейзаж
море, озеро, река	На улице	Дневной свет	3200	0	-	ISO 3200 не подходит для съемки воды и берега утром или днем	море, озеро, река	утро / день	пасмурно	пейзаж
море, озеро, река	На улице	Вечер или ночь	50	0	-	ISO 50 не подходит для съемки на закате	море, озеро, река	вечер	закат	пейзаж
море, озеро, река	На улице	Вечер или ночь	100	0	-	ISO 100 не подходит для съемки на закате	море, озеро, река	вечер	закат	пейзаж
море, озеро, река	На улице	Вечер или ночь	160	0	-	ISO 160 не подходит для съемки на закате	море, озеро, река	вечер	закат	пейзаж
море, озеро, река	На улице	Вечер или ночь	200	0	-	ISO 200 не подходит для съемки на закате	море, озеро, река	вечер	закат	пейзаж
море, озеро, река	На улице	Вечер или ночь	400	5.6	1/500	закат	море, озеро, река	вечер	закат	пейзаж
море, озеро, река	На улице	Вечер или ночь	400	8	1/250	закат	море, озеро, река	вечер	закат	пейзаж
море, озеро, река	На улице	Вечер или ночь	400	11	1/125	закат	море, озеро, река	вечер	закат	пейзаж
море, озеро, река	На улице	Вечер или ночь	800	8	1/500	закат	море, озеро, река	вечер	закат	пейзаж
море, озеро, река	На улице	Вечер или ночь	800	11	1/250	закат	море, озеро, река	вечер	закат	пейзаж
море, озеро, река	На улице	Вечер или ночь	1600	8	1/500	закат	море, озеро, река	вечер	закат	пейзаж
море, озеро, река	На улице	Вечер или ночь	3200	0	-	ISO 3200 не подходит для съемки на закате	море, озеро, река	вечер	закат	пейзаж
море, озеро, река	На улице	Вечер или ночь	50	0	-	ISO 50 не подходит для съемки в сумерках	море, озеро, река	вечер	сумерки	пейзаж
